
Sumatera
BTJ - Bandar Udara Internasional Sultan Iskandar Muda , Banda Aceh
MES - Bandar Udara Internasional Polonia , Medan
KNM - Bandar Udara Internasional Kuala Namu, Kota Medan
BTH - Bandar Udara Hang Nadim, Batam
TNJ - Bandar Udara Internasional Raja Haji Fisabilillah, Tanjung Pinang
PKU - Bandar Udara Sultan Syarif Kasim II, Pekanbaru
PDG - Bandar Udara Internasional Minangkabau, Kota Padang
PLM - Bandar Udara Sultan Mahmud Badaruddin II, Palembang
BKS - Bandar Udara Fatmawati Soekarno, Bengkulu
TKG - Bandar Udara Radin Inten II, Bandar Lampung
DJB - Bandar Udara Sultan Thaha, Jambi
[sunting] Jawa
CGK - Bandar Udara Internasional Soekarno-Hatta, Cengkareng, Jakarta
HLP - Bandar Udara Internasional Halim Perdanakusuma, Jakarta
SUB - Bandar Udara Internasional Juanda, Surabaya
BDO - Bandar Udara Internasional Husein Sastranegara, Bandung
SRG - Bandar Udara Achmad Yani, Semarang
SOC - Bandar Udara Adisumarmo, Solo
JOG - Bandar Udara Adi Sucipto, Yogyakarta
[sunting] Bali dan Nusa Tenggara
DPS - Bandar Udara Internasional Ngurah Rai, Denpasar
BIL - Bandar Udara Internasional Lombok, Tanak Awu (Lombok Tengah), NTB
KOE - Bandar Udara El Tari, Kupang
LOP - Bandar Udara Internasional Lombok, Praya, Lombok
BMU - Bandar Udara Sultan Muhammad Salahuddin, Bima
RTG - Bandar Udara Frans Sales Lega, Ruteng
BJW - Bandar Udara Soa, Bajawa
ENE - Bandar Udara H.Hasan Aroeboesman, Ende
MOF - Bandar Udara Frans Seda, Maumere
ARD - Bandar Udara Mali, Alor
ABU - Bandar Udara Haliwen, Atambua
[sunting] Kalimantan
BPN - Bandar Udara Internasional Sepinggan, Balikpapan
PNK - Bandar Udara Internasional Supadio, Pontianak
TRK - Bandar Udara Internasional Juwata, Tarakan
bandar udara susilosintang
[sunting] Sulawesi
UPG - Bandar Udara Sultan Hasanuddin, Makassar
KDI - Bandar Udara Internasional Haluoleo, Kendari
MDC - Bandar Udara Sam Ratulangi, Manado
PLW - Bandar Udara Mutiara, Palu
LUW - Bandar Udara Abdul Aziz, Luwuk
[sunting] Maluku
AMQ - Bandar Udara Pattimura, Kota Ambon
TSF - Bandar Udara Suka Sultan I Love Thaha, Kota Sofifi
[sunting] Papua
DJJ - Bandar Udara Sentani, Jayapura
BIK - Bandar Udara Frans Kaisiepo, Biak
KNG - Bandar Udara Utarom, Kaimana
FKQ - Bandar Udara Torea, Fakfak
TIM - Bandar Udara Mozes Kilangin, Tembagapura
MKQ - Bandar Udara Mopah, Merauke
Ket: Bandar udara internasional memiliki 2 jenis penerbangan, yaitu penerbangan internasional dan penerbangan domestik.
[sunting] Domestik
[sunting] Sumatera
SBG - Bandar Udara Maimun Saleh, Sabang
LSX - Bandar Udara Lhok Sukon, Aceh Utara
LSW - Bandar Udara Malikus Saleh, Lhokseumawe
MEQ - Bandar Udara Cut Nyak Dhien, Nagan Raya
TPK - Bandar Udara Teuku Cut Ali, Tapaktuan
SKL - Bandar Udara Syekh Hamzah Fansyuri, Singkil
SNB - Bandar Udara Lasikin, Sinabang
SIW - Bandar Udara Sibisa, Toba Samosir
BRT - Bandar Udara Barita, Parbaba
SQT - Bandar Udara Silangit, Siborong-borong
SIX - Bandar Udara Dr. Ferdinand Lumban Tobing, Sibolga
AEG - Bandar Udara Aek Godang, Padang Sidempuan
GNS - Bandar Udara Binaka, Gunung Sitoli
LSE - Bandar Udara Lasondre, Pulau-pulau Batu
DUM - Bandar Udara Pinang Kampai, Dumai
SEQ - Bandar Udara Sungai Pakning, Bengkalis
PPR - Bandar Udara Pasir Pengaraian, Pasir Pengaraian
SIQ - Bandar Udara Dabo, Singkep
RGT - Bandar Udara Japura, Rengat
TJB - Bandar Udara Sei Bati, Karimun
NTX - Bandar Udara Ranai, Natuna
MWK - Bandar Udara Matak, Pal Matak
RKO - Bandar Udara Rokot, Sipura
DJB - Bandar Udara Sultan Thaha Syarifuddin, Jambi
KRC - Bandar Udara Depati Parbo, Kerinci
BKS - Bandar Udara Fatmawati Soekarno, Bengkulu
MPC - Bandar Udara Mukomuko, Mukomuko
PGK - Bandar Udara Depati Amir, Pangkalpinang
TJQ - Bandar Udara H. A. S. Hanandjoeddin , Tanjung Pandan
LLG - Bandar Udara Silampari, Lubuklinggau
PDO - Bandar Udara Pendopo, Empat Lawang
PLL - Bandar Udara Pendopo, Melik City
[sunting] Jawa
PCB - Bandar Udara Pondok Cabe, Pamulang
PPJ - Bandar Udara Pulau Panjang, Kepulauan Seribu
TSY - Bandar Udara Cibeureum, Tasikmalaya
--- - Bandar Udara Nusawiru, Ciamis
CBN - Bandar Udara Cakrabhuwana, Cirebon
CXP - Bandar Udara Tunggul Wulung, Cilacap
PWL - Bandar Udara Wirasaba, Purbalingga
KWB - Bandar Udara Dewandaru, Karimunjawa
CPF - Bandar Udara Ngloram, Cepu
--- - Bandar Udara Iswahyudi, Madiun
MLG - Bandar Udara Abdul Rachman Saleh, Malang
SUP - Bandar Udara Trunojoyo, Sumenep
MSI - Bandar Udara Masalembo, Masalembo
WGI - Bandar Udara Blimbingsari, Banyuwangi
[sunting] Bali dan Nusa Tenggara
SWQ - Bandar Udara Brangbiji, Sumbawa Besar
LYK - Bandar Udara Lunyuk, Sumbawa
BMU - Bandar Udara Muhammad Salahuddin, Bima
BSX - Bandar Udara Internasional El Tari, Kupang
LBJ - Bandar Udara Komodo, Manggarai Barat
RTG - Bandar Udara Frans Sales Lega, Ruteng
TMC - Bandar Udara Tambolaka, Waikabubak
WGP - Bandar Udara Umbu Mehang Kunda, Waingapu
BJW - Bandar Udara Soa, Bajawa
ENE - Bandar Udara H Hasan Aroeboesman, Ende
MOF - Bandar Udara Wai Oti, Maumere
LKA - Bandar Udara Gewayantana, Larantuka
LWE - Bandar Udara Wonopito, Lewoleba
ARD - Bandar Udara Mali, Alor
RTI - Bandar Udara Lekunik, Rote
SAU - Bandar Udara Tardamu, Pulau Sawu
ABU - Bandar Udara Haliwen, Atambua
[sunting] Kalimantan
KTG - Bandar Udara Rahadi Oesman, Ketapang
SQG - Bandar Udara Susilo, Sintang
NPO - Bandar Udara Nanga Pinoh, Nanga Pinoh
PSU - Bandar Udara Pangsuma, Putussibau
PKY - Bandar Udara Tjilik Riwut, Palangka Raya
PKN - Bandar Udara Iskandar, Pangkalan Bun
TBM - Bandar Udara Tumbang Samba, Katingan
SMQ - Bandar Udara H. Asan, Sampit
MTW - Bandar Udara Beringin, Muara Teweh
BDJ - Bandar Udara Syamsuddin Noor, Banjarmasin
TJG - Bandar Udara Warukin, Tanjung
BTW - Bandar Udara Bersujud, Batulicin
KBU - Bandar Udara ST Raden, Kotabaru
SRI - Bandar Udara Temindung, Samarinda
NNX - Bandar Udara Nunukan, Nunukan
LBW - Bandar Udara Yuvai Semaring, Krayan
BYQ - Bandar Udara Bunyu, Pulau Bunyu
MLN - Bandar Udara R.A. Bessing, Malinau
LPU - Bandar Udara Long Ampung, Kayan Selatan
TJS - Bandar Udara Tanjung Harapan, Tanjung Selor
NAF - Bandar Udara Banaina, Bulungan
BEJ - Bandar Udara Kalimarau, Tanjung Redeb
SGQ - Bandar Udara Sangkimah, Sangatta
BXT - Bandar Udara Bontang, Bontang
TSX - Bandar Udara Tanjung Santan, Marang Kayu
KOD - Bandar Udara Kotabangun, Kutai Kartanegara
SZH - Bandar Udara Senipah, Kutai Kartanegara
MLK - Bandar Udara Melalan, Melak
DTD - Bandar Udara Datah Dawai, Kutai Barat
TNB - Bandar Udara Tanah Grogot, Tanah Grogot
STA - Bandar Udara Tanjung Bara, Sangatta
[sunting] Sulawesi
MXB - Bandar Udara Andi Djemma, Masamba
BUW - Bandar Udara Betoambari, Bau-bau
GTO - Bandar Udara Jalaluddin, Gorontalo
SQR - Bandar Udara Inco Soroako Waws, Sorowako
PSJ - Bandar Udara Kasiguncu, Poso
TLI - Bandar Udara Lalos, Tolitoli
LWU - Bandar Udara Lagaligo , Luwu
MJU - Bandar Udara Tampa Padang, Mamuju
MNA - Bandar Udara Melonguane, Melonguane
BJG - Bandar Udara Mopait, Bolaang Mongondow
PLW - Bandar Udara Mutiara, Palu
NAH - Bandar Udara Naha, Tahuna
UOL - Bandar Udara Pogugol, Buol
PUM - Bandar Udara Sangia Ni Bandera, Pomalaa
TTR - Bandar Udara Pongtiku, Tana Toraja
RAQ - Bandar Udara Sugimanuru, Raha
LUW - Bandar Udara Syukuran Aminuddin Amir, Luwuk
KDI - Bandar Udara Internasional Haluoleo, Kendari
SLY - Bandar Udara H. Aroeppala , Selayar
WKB - Bandar Udara Matahora , Wangi-wangi
MRG - Bandar Udara Maranggo , Pulau Tomia
[sunting] Maluku
AHI - Bandar Udara Amahai, Masohi
